Main Variable,Correlation with Dependent Variables,P-value
Individual Performance,0.2830144874562576,0.12289414660410618
Individual learning & capacity,0.46332809547644094,0.008664746830017701
Individual Psychological Effect,0.3577558355610573,0.048155346427711486
Team Performance,0.448894820039523,0.011307075367806473
Team Creativity,0.48598952786278465,0.005574414525107916
Team Climate,0.2772330376098931,0.13106626995188805
Org - Learning&Innovation,0.30758717780167866,0.09232022685375862
Org - Business Process Efficiency,0.44539272031681487,0.012041481288478326
